個別銘柄信用取引残高 Outstanding Margin Trading by Issue,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
J,,喚,ＭＡＸＩＳ　ＮＹダウ上場投信　受益証券,投信等,貸,22410,JP3049840006,3820,10,*,14950,-480,*,25.6,0,0,3820,10,8670,40,6280,-520
J,,喚,東証グロース２５０ＥＴＦ　受益証券,投信等,貸,25160,JP3048700003,582010,-31870,*,913340,53090,*,63.7,0,0,582010,-31870,339800,1460,573540,51630
A,,喚,グローバルＸ　ＵＳ　テック・配当貴族　ＥＴＦ　受益証券,投信等,貸,283A0,JP3050590003,0,0,*,1321,-23,*,0,0,0,0,0,1103,-23,218,0
A,,喚,Ｏｎｅ　ＥＴＦ　ＦＴＳＥ・サウジアラビア・インデックス　受益証券,投信等,貸,295A0,JP3050610009,0,0,*,107,5,*,0,0,0,0,0,107,5,0,0
A,,喚,いちごオフィスリート投資法人　投資証券,投信等,貸,89750,JP3046300004,131,-2,0.0086,2687,129,0.1759,4.9,5,-3,126,1,1352,4,1335,125
,1 銘柄欄:,,,,,,,,,,,,,,,,,,,,,
,,「規」は規制銘柄。「日」は日々公表銘柄、「監」は売買監理銘柄、「株」は日証金における貸株申込制限銘柄。「喚」は日証金における貸株注意喚起銘柄。「○」は不明確情報等により注意喚起の対象となった銘柄、特別注意銘柄等。,,,,,,,,,,,,,,,,,,,,
,,"「A」は1株、「J」は10株、「K」は50株、「B」は100株、「M」は200株、「C」は500株、「T」は1,000株、「F」は3,000株を1単位とする銘柄。",,,,,,,,,,,,,,,,,,,,
,2 銘柄種別:,,,,,,,,,,,,,,,,,,,,,
,,｢制」は制度信用銘柄、「貸」は貸借銘柄、「他」はその他銘柄。,,,,,,,,,,,,,,,,,,,,
,3 表示単位:,,,,,,,,,,,,,,,,,,,,,
,,全ての銘柄を１株単位で表示。なお、「投信」の残高は、１口を１株として表示。,,,,,,,,,,,,,,,,,,,,
,4 前日比欄：,,,,,,,,,,,,,,,,,,,,,
,,前日比欄の「▲」は減少、無印は増加。,,,,,,,,,,,,,,,,,,,,
,5 上場比欄：,,,,,,,,,,,,,,,,,,,,,
,,ETF及びETNについては「*」と表示（上場比は算出しない）。,,,,,,,,,,,,,,,,,,,,
,1 Issue:,,,,,,,,,,,,,,,,,,,,,
,,"""規"": indicates restricted issue, ""日"": issue subject to daily publication, ""監"": issue under trade monitoring,""株"": JSF has placed restrictions on the application for the use of stocks for loan trading, ",,,,,,,,,,,,,,,,,,,,
,,"""喚"": JSF has placed a notice for precaution for the use of stocks for loan trading, ""○"": issue subject to alert on unclear information, Securities on Special Alert, etc.",,,,,,,,,,,,,,,,,,,,
,,"A indicates 1 share, J: 10 shares, K: 50 shares, B: 100 shares, M: 200 shares, C: 500 shares, T: 1,000 shares, F: 3,000 shares per unit.",,,,,,,,,,,,,,,,,,,,
,2 Loan/Margin:,,,,,,,,,,,,,,,,,,,,,
,,"""制"" indicates standardized margin trading issue, ""貸"" indicates loan trading issue, ""他"" indicates other issues.",,,,,,,,,,,,,,,,,,,,
,3 Units:,,,,,,,,,,,,,,,,,,,,,
,,"Displayed in units of 1 share for all issues. 1 unit for ""Investment Trusts"" is indicated as 1 share.",,,,,,,,,,,,,,,,,,,,
,4 Daily change:,,,,,,,,,,,,,,,,,,,,,
,," ▲ indicates fall, no symbol indicates rise.",,,,,,,,,,,,,,,,,,,,
,5 Ratio to listed shares:,,,,,,,,,,,,,,,,,,,,,
,,"For ETFs and ETNs, * is indicated.(Ratio to listed shares is not calculated.)",,,,,,,,,,,,,,,,,,,,
